Line 1: KEYWORD_VOID wila
Line 1: KEYWORD_MAIN wadda
Line 1: PUNC_LPAREN (
Line 1: PUNC_RPAREN )
Line 1: PUNC_LBRACE {
Line 3: KEYWORD_INT adad
Line 3: ERROR_INVALID_IDENTIFIER 1value
Line 3: OP_ASSIGN =
Line 3: NUMBER_INT 5
Line 3: PUNC_SEMICOLON ;
Line 6: KEYWORD_FLOAT isharia
Line 6: IDENTIFIER total
Line 6: OP_ASSIGN =
Line 6: NUMBER_FLOAT 100.5
Line 6: ERROR_UNKNOWN #
Line 6: PUNC_SEMICOLON ;
Line 9: KEYWORD_INT adad
Line 9: IDENTIFIER x
Line 9: OP_ASSIGN =
Line 9: NUMBER_INT 10
Line 9: PUNC_SEMICOLON ;
Line 10: KEYWORD_INT adad
Line 10: IDENTIFIER y
Line 10: OP_ASSIGN =
Line 10: IDENTIFIER x
Line 10: OP_PLUS +
Line 10: NUMBER_INT 20
Line 10: PUNC_SEMICOLON ;
Line 12: KEYWORD_COUT likh
Line 12: OP_STREAM_OUT <<
Line 12: STRING_LITERAL "Result is "
Line 12: PUNC_SEMICOLON ;
Line 15: IDENTIFIER if
Line 15: PUNC_LPAREN (
Line 15: IDENTIFIER x
Line 15: OP_GREATER >
Line 15: IDENTIFIER y
Line 15: PUNC_RPAREN )
Line 15: ERROR_UNKNOWN &
Line 15: PUNC_LBRACE {
Line 16: KEYWORD_COUT likh
Line 16: OP_STREAM_OUT <<
Line 16: STRING_LITERAL "X is greater"
Line 16: PUNC_SEMICOLON ;
Line 17: PUNC_RBRACE }
Line 19: KEYWORD_IF jay
Line 19: PUNC_LPAREN (
Line 19: IDENTIFIER x
Line 19: OP_EQUALS ==
Line 19: NUMBER_INT 10
Line 19: PUNC_RPAREN )
Line 19: PUNC_LBRACE {
Line 20: KEYWORD_COUT likh
Line 20: OP_STREAM_OUT <<
Line 20: STRING_LITERAL "Condition True"
Line 20: PUNC_SEMICOLON ;
Line 21: PUNC_RBRACE }
Line 22: KEYWORD_ELSE natan
Line 22: PUNC_LBRACE {
Line 23: KEYWORD_COUT likh
Line 23: OP_STREAM_OUT <<
Line 23: STRING_LITERAL "Condition False"
Line 23: PUNC_SEMICOLON ;
Line 24: PUNC_RBRACE }
Line 26: KEYWORD_FOR valval
Line 26: PUNC_LPAREN (
Line 26: KEYWORD_INT adad
Line 26: IDENTIFIER i
Line 26: OP_ASSIGN =
Line 26: NUMBER_INT 0
Line 26: PUNC_SEMICOLON ;
Line 26: IDENTIFIER i
Line 26: OP_LESS <
Line 26: NUMBER_INT 5
Line 26: PUNC_SEMICOLON ;
Line 26: IDENTIFIER i
Line 26: OP_ASSIGN =
Line 26: IDENTIFIER i
Line 26: OP_PLUS +
Line 26: NUMBER_INT 1
Line 26: PUNC_RPAREN )
Line 26: PUNC_LBRACE {
Line 28: PUNC_RBRACE }
Line 30: KEYWORD_RETURN wapas
Line 30: NUMBER_INT 0
Line 30: PUNC_SEMICOLON ;
Line 31: PUNC_RBRACE }
