Line 1: KEYWORD_VOID wila
Line 1: KEYWORD_MAIN wadda
Line 1: PUNC_LPAREN (
Line 1: PUNC_RPAREN )
Line 1: PUNC_LBRACE {
Line 3: KEYWORD_INT adad
Line 3: IDENTIFIER x
Line 3: OP_ASSIGN =
Line 3: NUMBER_INT 10
Line 3: PUNC_SEMICOLON ;
Line 4: KEYWORD_INT adad
Line 4: IDENTIFIER y
Line 4: OP_ASSIGN =
Line 4: NUMBER_INT 20
Line 4: PUNC_SEMICOLON ;
Line 5: KEYWORD_FLOAT isharia
Line 5: IDENTIFIER z
Line 5: OP_ASSIGN =
Line 5: NUMBER_FLOAT 5.5
Line 5: PUNC_SEMICOLON ;
Line 6: KEYWORD_FLOAT isharia
Line 6: IDENTIFIER exp
Line 6: OP_ASSIGN =
Line 6: NUMBER_FLOAT 1.2E+05
Line 6: PUNC_SEMICOLON ;
Line 8: KEYWORD_CHAR akhar
Line 8: IDENTIFIER grade
Line 8: OP_ASSIGN =
Line 8: CHAR_LITERAL 'A'
Line 8: PUNC_SEMICOLON ;
Line 10: KEYWORD_COUT likh
Line 10: OP_STREAM_OUT <<
Line 10: STRING_LITERAL "Start Program"
Line 10: PUNC_SEMICOLON ;
Line 12: KEYWORD_IF jay
Line 12: PUNC_LPAREN (
Line 12: IDENTIFIER x
Line 12: OP_LESS <
Line 12: IDENTIFIER y
Line 12: PUNC_RPAREN )
Line 12: PUNC_LBRACE {
Line 13: KEYWORD_COUT likh
Line 13: OP_STREAM_OUT <<
Line 13: STRING_LITERAL "X chota hai"
Line 13: PUNC_SEMICOLON ;
Line 14: IDENTIFIER x
Line 14: OP_ASSIGN =
Line 14: IDENTIFIER x
Line 14: OP_PLUS +
Line 14: NUMBER_INT 1
Line 14: PUNC_SEMICOLON ;
Line 15: PUNC_RBRACE }
Line 16: KEYWORD_ELSE natan
Line 16: PUNC_LBRACE {
Line 17: KEYWORD_COUT likh
Line 17: OP_STREAM_OUT <<
Line 17: STRING_LITERAL "Y chota hai"
Line 17: PUNC_SEMICOLON ;
Line 18: PUNC_RBRACE }
Line 20: KEYWORD_FOR valval
Line 20: PUNC_LPAREN (
Line 20: KEYWORD_INT adad
Line 20: IDENTIFIER i
Line 20: OP_ASSIGN =
Line 20: NUMBER_INT 0
Line 20: PUNC_SEMICOLON ;
Line 20: IDENTIFIER i
Line 20: OP_LESS <
Line 20: NUMBER_INT 5
Line 20: PUNC_SEMICOLON ;
Line 20: IDENTIFIER i
Line 20: OP_ASSIGN =
Line 20: IDENTIFIER i
Line 20: OP_PLUS +
Line 20: NUMBER_INT 1
Line 20: PUNC_RPAREN )
Line 20: PUNC_LBRACE {
Line 21: KEYWORD_COUT likh
Line 21: OP_STREAM_OUT <<
Line 21: IDENTIFIER i
Line 21: PUNC_SEMICOLON ;
Line 22: KEYWORD_IF jay
Line 22: PUNC_LPAREN (
Line 22: IDENTIFIER i
Line 22: OP_EQUALS ==
Line 22: NUMBER_INT 3
Line 22: PUNC_RPAREN )
Line 22: PUNC_LBRACE {
Line 23: KEYWORD_BREAK khal
Line 23: PUNC_SEMICOLON ;
Line 24: PUNC_RBRACE }
Line 25: PUNC_RBRACE }
Line 27: KEYWORD_INT adad
Line 27: IDENTIFIER count
Line 27: OP_ASSIGN =
Line 27: NUMBER_INT 0
Line 27: PUNC_SEMICOLON ;
Line 28: KEYWORD_WHILE jitna
Line 28: PUNC_LPAREN (
Line 28: IDENTIFIER count
Line 28: OP_LESS <
Line 28: NUMBER_INT 10
Line 28: PUNC_RPAREN )
Line 28: PUNC_LBRACE {
Line 29: IDENTIFIER count
Line 29: OP_ASSIGN =
Line 29: IDENTIFIER count
Line 29: OP_PLUS +
Line 29: NUMBER_INT 1
Line 29: PUNC_SEMICOLON ;
Line 30: PUNC_RBRACE }
Line 32: KEYWORD_RETURN wapas
Line 32: NUMBER_INT 0
Line 32: PUNC_SEMICOLON ;
Line 33: PUNC_RBRACE }
